service_id,date,exception_type
20183011multiint-1111100,20181011,1
20183011multiint-0000100,20181012,1
20183011multiint-0001100,20181012,1
20183011multiint-1111100,20181012,1
20183511multiint-0000010,20181013,1
20183611multiint-0000001,20181014,1
20183011multiint-1111100,20181015,1
20183011multiint-1111100,20181016,1
20183011multiint-1111100,20181017,1
20183011multiint-0001100,20181018,1
20183011multiint-1111100,20181018,1
20183011multiint-0000100,20181019,1
20183011multiint-0001100,20181019,1
20183011multiint-1111100,20181019,1
20183511multiint-0000010,20181020,1
20183611multiint-0000001,20181021,1
20183011multiint-1111100,20181022,1
20183011multiint-1111100,20181023,1
20183011multiint-1111100,20181024,1
20183011multiint-0001100,20181025,1
20183011multiint-1111100,20181025,1
20183011multiint-0000100,20181026,1
20183011multiint-0001100,20181026,1
20183011multiint-1111100,20181026,1
20183511multiint-0000010,20181027,1
20183611multiint-0000001,20181028,1
20183011multiint-1111100,20181029,1
20183011multiint-1111100,20181030,1
20183011multiint-1111100,20181031,1
20183011multiint-0001100,20181101,1
20183011multiint-1111100,20181101,1
20183011multiint-0000100,20181102,1
20183011multiint-0001100,20181102,1
20183011multiint-1111100,20181102,1
20183511multiint-0000010,20181103,1
20183611multiint-0000001,20181104,1
20183011multiint-1111100,20181105,1
20183011multiint-1111100,20181106,1
20183011multiint-1111100,20181107,1
20183011multiint-0001100,20181108,1
20183011multiint-1111100,20181108,1
20183011multiint-0000100,20181109,1
20183011multiint-0001100,20181109,1
20183011multiint-1111100,20181109,1
20183511multiint-0000010,20181110,1
20183611multiint-0000001,20181111,1
20183011multiint-1111100,20181112,1
20183011multiint-1111100,20181113,1
20183011multiint-1111100,20181114,1
20183011multiint-0001100,20181115,1
20183011multiint-1111100,20181115,1
20183011multiint-0000100,20181116,1
20183011multiint-0001100,20181116,1
20183011multiint-1111100,20181116,1
20183511multiint-0000010,20181117,1
20183611multiint-0000001,20181118,1
20183011multiint-1111100,20181119,1
20183011multiint-1111100,20181120,1
20183011multiint-1111100,20181121,1
20183011multiint-0001100,20181122,1
20183011multiint-1111100,20181122,1
20183011multiint-0000100,20181123,1
20183011multiint-0001100,20181123,1
20183011multiint-1111100,20181123,1
20183511multiint-0000010,20181124,1
20183611multiint-0000001,20181125,1
20183011multiint-1111100,20181126,1
20183011multiint-1111100,20181127,1
20183011multiint-1111100,20181128,1
20183011multiint-0001100,20181129,1
20183011multiint-1111100,20181129,1
20183011multiint-0000100,20181130,1
20183011multiint-0001100,20181130,1
20183011multiint-1111100,20181130,1
